---------------------
  #    meV     cm^-1
---------------------
  0    5.0i     40.5i
  1    4.9i     39.2i
  2    0.0i      0.0i
  3    0.0       0.0
  4    0.0       0.0
  5    4.3      34.3
  6    5.5      44.1
  7    5.5      44.2
  8    6.1      49.5
  9    6.9      56.0
 10    7.4      59.6
 11    7.4      59.6
 12    7.8      63.1
 13    7.9      63.4
 14    8.2      66.4
 15    8.2      66.4
 16    9.6      77.2
 17   10.1      81.3
 18   10.1      81.3
 19   10.7      86.6
 20   10.9      88.3
 21   12.0      96.5
 22   12.0      96.9
 23   12.1      97.7
 24   12.7     102.6
 25   12.7     102.7
 26   12.9     104.0
 27   12.9     104.2
 28   13.3     107.6
 29   13.5     109.0
 30   13.5     109.0
 31   13.6     109.7
 32   13.7     110.7
 33   14.0     112.5
 34   14.0     112.6
 35   14.0     112.9
 36   14.3     115.0
 37   14.5     117.2
 38   14.9     119.8
 39   14.9     119.9
 40   15.4     124.5
 41   15.4     124.5
 42   16.2     130.4
 43   16.5     133.0
 44   16.6     133.8
 45   16.6     133.9
 46   17.1     137.6
 47   17.3     139.7
 48   17.3     139.8
 49   17.8     143.4
 50   18.3     147.6
 51   18.8     151.7
 52   18.8     151.7
 53   18.9     152.3
 54   19.1     154.1
 55   19.1     154.1
 56   19.3     155.4
 57   19.3     155.9
 58   19.5     157.2
 59   19.8     160.0
 60   19.9     160.8
 61   19.9     160.9
 62   20.1     161.8
 63   20.1     162.0
 64   20.4     164.6
 65   20.7     167.2
 66   20.9     168.9
 67   20.9     169.0
 68   21.4     172.3
 69   21.4     172.3
 70   21.5     173.1
 71   21.8     176.0
 72   22.1     178.5
 73   23.0     185.6
 74   23.5     189.4
 75   24.2     195.1
 76   24.3     195.7
 77   24.3     195.9
 78   24.5     197.2
 79   24.6     198.7
 80   24.7     198.8
 81   24.9     201.1
 82   25.2     202.9
 83   25.2     203.3
 84   25.6     206.5
 85   25.6     206.6
 86   25.7     207.4
 87   26.5     214.0
 88   26.5     214.0
 89   26.9     217.3
 90   27.3     219.8
 91   27.6     222.8
 92   27.6     222.8
 93   27.8     224.6
 94   27.9     225.4
 95   28.0     225.6
 96   28.7     231.6
 97   28.7     231.8
 98   29.0     234.0
 99   29.2     235.5
100   29.2     235.6
101   29.2     235.7
102   29.3     236.0
103   29.4     237.4
104   29.6     238.7
105   29.6     238.7
106   29.6     239.0
107   30.5     246.2
108   32.8     264.5
109   32.9     265.5
110   43.9     354.3
---------------------
Zero-point energy: 1.032 eV
