---------------------
  #    meV     cm^-1
---------------------
  0    4.6i     37.0i
  1    0.0i      0.0i
  2    0.0i      0.0i
  3    0.0i      0.0i
  4    2.2      17.4
  5    5.1      40.9
  6    5.5      44.7
  7    6.2      50.4
  8    6.8      54.6
  9    6.8      54.9
 10    7.4      60.0
 11    7.7      62.4
 12    7.8      63.3
 13    8.0      64.3
 14    8.2      66.5
 15    8.5      68.7
 16   10.0      80.8
 17   10.1      81.3
 18   10.2      82.6
 19   10.7      86.4
 20   11.6      93.6
 21   12.2      98.5
 22   12.3      98.9
 23   12.4     100.2
 24   12.8     102.9
 25   12.9     104.3
 26   13.0     104.9
 27   13.3     106.9
 28   13.3     107.4
 29   13.6     109.3
 30   13.6     109.6
 31   13.6     109.8
 32   13.9     112.0
 33   14.0     113.1
 34   14.1     113.7
 35   14.2     114.8
 36   14.7     118.2
 37   14.8     119.1
 38   14.9     119.9
 39   15.3     123.4
 40   15.4     124.2
 41   15.8     127.4
 42   16.2     130.7
 43   16.5     132.9
 44   16.5     133.3
 45   16.6     134.0
 46   17.3     139.7
 47   17.4     140.6
 48   17.4     140.7
 49   18.1     146.4
 50   18.6     150.2
 51   18.9     152.7
 52   18.9     152.8
 53   19.1     153.9
 54   19.1     154.0
 55   19.2     155.2
 56   19.3     155.4
 57   19.5     157.0
 58   19.6     158.3
 59   19.7     158.9
 60   20.0     161.1
 61   20.0     161.2
 62   20.1     162.2
 63   20.2     162.8
 64   20.7     167.1
 65   20.8     168.1
 66   21.1     170.0
 67   21.1     170.2
 68   21.2     171.3
 69   21.3     171.4
 70   21.5     173.6
 71   21.8     175.8
 72   22.4     180.6
 73   23.3     188.3
 74   24.1     194.0
 75   24.2     195.1
 76   24.3     195.8
 77   24.4     197.2
 78   24.6     198.1
 79   24.7     199.1
 80   24.7     199.4
 81   25.0     201.7
 82   25.3     203.9
 83   25.3     204.2
 84   25.5     205.8
 85   25.6     206.6
 86   25.8     208.5
 87   26.3     211.9
 88   26.5     213.7
 89   27.0     217.9
 90   27.3     220.0
 91   27.5     222.2
 92   27.7     223.2
 93   27.7     223.3
 94   27.8     224.2
 95   28.0     225.5
 96   28.6     230.3
 97   28.9     232.8
 98   29.0     234.2
 99   29.1     234.4
100   29.2     235.5
101   29.3     236.3
102   29.3     236.4
103   29.4     237.3
104   29.6     238.7
105   29.6     238.8
106   29.6     239.1
107   30.5     245.7
108   30.9     249.4
109   32.2     259.6
110   41.8     337.2
---------------------
Zero-point energy: 1.036 eV
