---------------------
  #    meV     cm^-1
---------------------
  0    4.5i     36.1i
  1    0.0i      0.0i
  2    0.0i      0.0i
  3    0.0i      0.0i
  4    2.4      19.0
  5    5.5      44.1
  6    5.8      47.1
  7    6.4      51.8
  8    6.6      53.0
  9    6.8      55.0
 10    7.5      60.7
 11    7.7      61.9
 12    7.8      63.2
 13    7.9      64.0
 14    8.2      66.3
 15    8.6      69.2
 16    9.9      80.1
 17   10.1      81.3
 18   10.6      85.1
 19   10.6      85.3
 20   11.6      93.9
 21   12.6     101.4
 22   12.6     101.6
 23   12.7     102.3
 24   12.8     103.1
 25   12.9     104.1
 26   13.1     105.3
 27   13.2     106.1
 28   13.2     106.7
 29   13.5     109.2
 30   13.5     109.3
 31   13.8     111.2
 32   13.9     112.3
 33   14.2     114.4
 34   14.2     114.5
 35   14.3     115.0
 36   14.7     118.6
 37   14.7     118.8
 38   14.8     119.5
 39   15.2     122.9
 40   15.4     124.5
 41   16.3     131.4
 42   16.4     132.3
 43   16.5     132.7
 44   16.5     133.2
 45   16.8     135.6
 46   17.6     142.0
 47   17.7     142.6
 48   17.9     144.7
 49   18.1     146.1
 50   18.4     148.4
 51   18.9     152.6
 52   19.0     153.1
 53   19.2     154.8
 54   19.2     154.8
 55   19.3     155.4
 56   19.4     156.7
 57   19.5     157.2
 58   19.9     160.3
 59   19.9     160.9
 60   20.0     161.5
 61   20.1     162.0
 62   20.2     162.8
 63   20.7     166.9
 64   20.7     167.2
 65   21.1     170.2
 66   21.1     170.6
 67   21.4     172.3
 68   21.6     173.9
 69   21.6     174.6
 70   21.7     174.8
 71   22.1     178.2
 72   22.5     181.7
 73   23.7     191.1
 74   24.2     194.8
 75   24.4     197.0
 76   24.5     197.7
 77   24.6     198.1
 78   24.7     198.9
 79   24.8     199.9
 80   25.1     202.2
 81   25.4     205.1
 82   25.5     205.7
 83   25.5     205.8
 84   25.7     207.3
 85   25.8     207.9
 86   26.1     210.3
 87   26.5     213.7
 88   26.8     215.8
 89   27.4     221.1
 90   27.5     221.6
 91   27.7     223.6
 92   27.8     223.9
 93   27.8     224.3
 94   28.0     225.9
 95   28.1     227.0
 96   28.5     229.9
 97   28.9     233.2
 98   29.2     235.8
 99   29.3     236.2
100   29.3     236.3
101   29.5     237.7
102   29.6     238.8
103   29.6     238.8
104   29.8     240.3
105   29.8     240.7
106   29.9     240.9
107   30.4     245.4
108   30.6     246.6
109   32.3     260.4
110   37.2     299.7
---------------------
Zero-point energy: 1.041 eV
