---------------------
  #    meV     cm^-1
---------------------
  0    4.2i     33.7i
  1    0.0i      0.0i
  2    0.0i      0.0i
  3    0.0i      0.0i
  4    3.5      28.6
  5    5.7      45.9
  6    5.8      46.8
  7    6.4      51.9
  8    6.8      55.1
  9    6.9      55.4
 10    7.5      60.5
 11    7.7      62.5
 12    8.0      64.5
 13    8.1      65.0
 14    8.3      67.3
 15    8.6      69.3
 16   10.0      80.4
 17   10.1      81.5
 18   10.5      84.4
 19   10.7      86.1
 20   11.7      94.0
 21   12.5     100.8
 22   12.5     101.1
 23   12.6     101.6
 24   12.9     103.9
 25   13.0     104.7
 26   13.0     105.2
 27   13.1     105.8
 28   13.4     107.7
 29   13.6     109.4
 30   13.6     109.6
 31   13.8     110.9
 32   13.9     112.3
 33   14.1     113.8
 34   14.2     114.8
 35   14.2     114.8
 36   14.7     118.8
 37   14.8     119.1
 38   14.9     120.0
 39   15.3     123.2
 40   15.5     124.6
 41   16.3     131.5
 42   16.3     131.7
 43   16.5     133.3
 44   16.5     133.4
 45   16.8     135.1
 46   17.6     141.6
 47   17.7     142.5
 48   17.8     143.3
 49   18.3     147.4
 50   18.4     148.5
 51   19.0     153.4
 52   19.0     153.4
 53   19.2     154.6
 54   19.3     155.6
 55   19.3     155.7
 56   19.5     157.3
 57   19.5     157.6
 58   19.8     159.5
 59   20.0     161.0
 60   20.1     161.8
 61   20.1     162.0
 62   20.2     162.9
 63   20.6     165.9
 64   20.8     167.7
 65   21.2     170.7
 66   21.2     170.9
 67   21.3     171.9
 68   21.3     172.0
 69   21.6     174.2
 70   21.7     175.3
 71   21.9     177.0
 72   22.5     181.8
 73   23.6     190.4
 74   24.2     194.9
 75   24.4     196.9
 76   24.6     198.1
 77   24.6     198.2
 78   24.6     198.8
 79   24.8     199.9
 80   25.0     201.5
 81   25.3     204.0
 82   25.5     205.4
 83   25.6     206.6
 84   25.6     206.7
 85   25.9     209.1
 86   26.0     209.4
 87   26.5     214.0
 88   26.6     214.6
 89   27.4     221.1
 90   27.4     221.3
 91   27.7     223.1
 92   27.8     223.9
 93   27.8     224.5
 94   27.9     224.8
 95   28.1     226.9
 96   28.4     228.7
 97   29.0     233.7
 98   29.2     235.6
 99   29.2     235.7
100   29.3     236.2
101   29.4     237.4
102   29.5     237.9
103   29.6     238.7
104   29.6     238.8
105   29.7     239.5
106   30.1     242.7
107   30.2     243.3
108   30.7     247.7
109   31.2     251.3
110   39.1     315.7
---------------------
Zero-point energy: 1.042 eV
