---------------------
  #    meV     cm^-1
---------------------
  0    4.9i     39.4i
  1    3.2i     26.0i
  2    0.0i      0.0i
  3    0.0       0.0
  4    0.0       0.0
  5    4.7      38.3
  6    5.5      44.2
  7    6.0      48.1
  8    6.2      49.8
  9    6.9      55.7
 10    7.4      59.7
 11    7.5      60.7
 12    7.8      62.9
 13    7.9      63.3
 14    8.2      66.4
 15    8.3      66.5
 16    9.8      78.8
 17   10.1      81.3
 18   10.1      81.4
 19   10.7      86.4
 20   11.3      91.1
 21   12.1      97.3
 22   12.1      97.3
 23   12.2      98.6
 24   12.7     102.6
 25   12.8     103.3
 26   12.9     104.2
 27   13.0     105.0
 28   13.3     107.5
 29   13.5     108.9
 30   13.5     109.1
 31   13.6     109.7
 32   13.8     111.1
 33   14.0     112.7
 34   14.0     112.8
 35   14.1     113.4
 36   14.2     114.9
 37   14.6     117.7
 38   14.9     119.8
 39   14.9     119.9
 40   15.4     124.2
 41   15.4     124.3
 42   16.2     130.4
 43   16.5     133.0
 44   16.6     133.5
 45   16.6     133.9
 46   17.1     138.1
 47   17.3     139.9
 48   17.3     139.9
 49   18.0     145.3
 50   18.3     147.2
 51   18.8     151.4
 52   18.8     152.0
 53   18.9     152.4
 54   19.1     154.0
 55   19.1     154.0
 56   19.3     155.5
 57   19.4     156.2
 58   19.5     157.3
 59   19.8     159.4
 60   19.9     160.8
 61   19.9     160.8
 62   20.0     161.7
 63   20.1     162.4
 64   20.5     165.2
 65   20.8     167.4
 66   20.9     168.9
 67   21.0     169.2
 68   21.3     171.9
 69   21.3     172.0
 70   21.5     173.3
 71   21.8     176.0
 72   22.2     179.2
 73   23.1     186.3
 74   23.5     189.8
 75   24.2     195.1
 76   24.3     195.7
 77   24.3     195.9
 78   24.5     197.4
 79   24.6     198.7
 80   24.7     199.1
 81   24.9     201.1
 82   25.2     202.9
 83   25.2     203.5
 84   25.6     206.1
 85   25.6     206.6
 86   25.8     207.8
 87   26.5     213.7
 88   26.5     213.8
 89   27.0     217.4
 90   27.3     219.8
 91   27.6     222.8
 92   27.6     222.9
 93   27.8     223.9
 94   27.9     225.0
 95   28.0     225.7
 96   28.7     231.5
 97   28.7     231.8
 98   29.0     234.1
 99   29.2     235.2
100   29.2     235.5
101   29.2     235.7
102   29.3     236.0
103   29.4     237.3
104   29.6     238.7
105   29.6     238.7
106   29.6     239.0
107   30.5     246.1
108   32.2     259.5
109   32.8     264.6
110   43.5     350.6
---------------------
Zero-point energy: 1.033 eV
---------------------
  #    meV     cm^-1
---------------------
  0    4.9i     39.4i
  1    3.2i     26.0i
  2    0.0i      0.0i
  3    0.0       0.0
  4    0.0       0.0
  5    4.7      38.3
  6    5.5      44.2
  7    6.0      48.1
  8    6.2      49.8
  9    6.9      55.7
 10    7.4      59.7
 11    7.5      60.7
 12    7.8      62.9
 13    7.9      63.3
 14    8.2      66.4
 15    8.3      66.5
 16    9.8      78.8
 17   10.1      81.3
 18   10.1      81.4
 19   10.7      86.4
 20   11.3      91.1
 21   12.1      97.3
 22   12.1      97.3
 23   12.2      98.6
 24   12.7     102.6
 25   12.8     103.3
 26   12.9     104.2
 27   13.0     105.0
 28   13.3     107.5
 29   13.5     108.9
 30   13.5     109.1
 31   13.6     109.7
 32   13.8     111.1
 33   14.0     112.7
 34   14.0     112.8
 35   14.1     113.4
 36   14.2     114.9
 37   14.6     117.7
 38   14.9     119.8
 39   14.9     119.9
 40   15.4     124.2
 41   15.4     124.3
 42   16.2     130.4
 43   16.5     133.0
 44   16.6     133.5
 45   16.6     133.9
 46   17.1     138.1
 47   17.3     139.9
 48   17.3     139.9
 49   18.0     145.3
 50   18.3     147.2
 51   18.8     151.4
 52   18.8     152.0
 53   18.9     152.4
 54   19.1     154.0
 55   19.1     154.0
 56   19.3     155.5
 57   19.4     156.2
 58   19.5     157.3
 59   19.8     159.4
 60   19.9     160.8
 61   19.9     160.8
 62   20.0     161.7
 63   20.1     162.4
 64   20.5     165.2
 65   20.8     167.4
 66   20.9     168.9
 67   21.0     169.2
 68   21.3     171.9
 69   21.3     172.0
 70   21.5     173.3
 71   21.8     176.0
 72   22.2     179.2
 73   23.1     186.3
 74   23.5     189.8
 75   24.2     195.1
 76   24.3     195.7
 77   24.3     195.9
 78   24.5     197.4
 79   24.6     198.7
 80   24.7     199.1
 81   24.9     201.1
 82   25.2     202.9
 83   25.2     203.5
 84   25.6     206.1
 85   25.6     206.6
 86   25.8     207.8
 87   26.5     213.7
 88   26.5     213.8
 89   27.0     217.4
 90   27.3     219.8
 91   27.6     222.8
 92   27.6     222.9
 93   27.8     223.9
 94   27.9     225.0
 95   28.0     225.7
 96   28.7     231.5
 97   28.7     231.8
 98   29.0     234.1
 99   29.2     235.2
100   29.2     235.5
101   29.2     235.7
102   29.3     236.0
103   29.4     237.3
104   29.6     238.7
105   29.6     238.7
106   29.6     239.0
107   30.5     246.1
108   32.2     259.5
109   32.8     264.6
110   43.5     350.6
---------------------
Zero-point energy: 1.033 eV
