---------------------
  #    meV     cm^-1
---------------------
  0    4.4i     35.3i
  1    0.0i      0.0i
  2    0.0i      0.0i
  3    0.0i      0.0i
  4    3.1      25.1
  5    5.6      44.8
  6    5.6      45.1
  7    6.4      51.2
  8    6.7      54.0
  9    6.8      54.7
 10    7.5      60.2
 11    7.7      62.1
 12    7.9      63.4
 13    7.9      64.0
 14    8.3      66.6
 15    8.5      68.5
 16   10.0      80.3
 17   10.1      81.4
 18   10.5      84.5
 19   10.6      85.8
 20   11.6      93.6
 21   12.4     100.2
 22   12.5     100.6
 23   12.5     100.6
 24   12.8     103.0
 25   13.0     104.8
 26   13.0     104.9
 27   13.0     105.2
 28   13.3     107.1
 29   13.5     109.0
 30   13.5     109.2
 31   13.7     110.6
 32   13.9     112.2
 33   14.1     113.6
 34   14.2     114.2
 35   14.2     114.8
 36   14.6     117.8
 37   14.8     119.7
 38   14.9     120.0
 39   15.2     122.8
 40   15.4     124.1
 41   16.3     131.4
 42   16.3     131.5
 43   16.4     132.7
 44   16.5     133.0
 45   16.7     134.9
 46   17.5     141.1
 47   17.6     142.0
 48   17.8     143.4
 49   18.2     146.8
 50   18.4     148.3
 51   19.0     153.1
 52   19.0     153.3
 53   19.1     153.9
 54   19.2     155.3
 55   19.3     155.3
 56   19.5     156.9
 57   19.5     157.6
 58   19.8     159.6
 59   19.9     160.4
 60   20.0     161.3
 61   20.0     161.6
 62   20.2     163.2
 63   20.5     165.6
 64   20.8     167.8
 65   21.0     169.5
 66   21.1     170.4
 67   21.2     171.2
 68   21.3     172.2
 69   21.5     173.7
 70   21.8     175.9
 71   21.9     177.0
 72   22.6     182.1
 73   23.5     189.9
 74   24.1     194.1
 75   24.3     196.3
 76   24.5     198.0
 77   24.6     198.2
 78   24.8     199.7
 79   24.8     200.3
 80   24.9     201.1
 81   25.4     204.7
 82   25.4     205.2
 83   25.6     206.2
 84   25.6     206.5
 85   25.8     207.7
 86   25.9     209.2
 87   26.5     213.7
 88   26.6     214.3
 89   27.4     220.7
 90   27.4     220.9
 91   27.6     222.8
 92   27.7     223.3
 93   27.9     224.8
 94   27.9     224.8
 95   28.0     226.2
 96   28.4     229.1
 97   28.9     233.3
 98   29.2     235.2
 99   29.2     235.6
100   29.3     236.1
101   29.4     237.4
102   29.5     237.7
103   29.6     238.8
104   29.6     239.0
105   29.7     239.9
106   29.9     241.2
107   30.0     241.9
108   30.7     247.7
109   31.4     253.6
110   39.9     322.1
---------------------
Zero-point energy: 1.040 eV
